Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"ADS1115IDGS","ADS1115IDGS","TSSOP-10_3x3mm_P0.5mm",130.696746,-63.089762,180.000000,top
"C1","1µF","C_0402_1005Metric",108.980000,-65.865000,0.000000,top
"C2","1µF","C_0402_1005Metric",111.520000,-58.245000,0.000000,top
"FB1","GZ2012D152TF","L_0805_2012Metric",106.680000,-62.262500,-90.000000,top
"FB2","GZ2012D152TF","L_0805_2012Metric",111.520000,-62.262500,-90.000000,top
"J1","Conn_01x04","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",157.480000,-56.000000,-90.000000,top
"J2","Conn_01x04","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",147.200000,-56.000000,-90.000000,top
"J3","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",123.407898,-59.472102,90.000000,top
"R1","10K","R_0603_1608Metric",122.651485,-62.012102,180.000000,top
"R2","10K","R_0603_1608Metric",130.492485,-58.320679,-90.000000,top
"R3","10K","R_0603_1608Metric",116.600000,-62.500000,-90.000000,top
"R4","10K","R_0603_1608Metric",116.600000,-59.070000,-90.000000,top
"VDD","SS495A","XDCR_SS495A",136.498000,-54.615000,0.000000,top
"VDD","SS495A","XDCR_SS495A",129.698000,-54.615000,0.000000,top
